period,domain,diagnostic,value,units,classification,description
Jun_2026,ethiopia,u200,-16.20283939870558,m s**-1,easterly_flow,200 hPa zonal wind
Jun_2026,ethiopia,v200,0.8589348232838271,m s**-1,not_classified,200 hPa meridional wind
Jun_2026,ethiopia,tej_strength,16.20283939870558,m s**-1,moderate_tej,TEJ strength proxy: -u200. Larger positive values indicate stronger easterly flow.
Jun_2026,ethiopia,div200,-5.755052278032781e-07,s-1,convergence,200 hPa horizontal divergence computed from CFSv2 u200 and v200.
Jun_2026,ethiopia,u850,2.599763351434274,m s**-1,not_classified,850 hPa zonal wind
Jun_2026,ethiopia,v850,3.8981071592929983,m s**-1,not_classified,850 hPa meridional wind
Jun_2026,ethiopia,q850,0.010475464588592748,kg kg**-1,not_classified,850 hPa specific humidity
Jun_2026,ethiopia,wind_speed850,6.0425720906005385,m s**-1,not_classified,850 hPa wind speed.
Jun_2026,ethiopia,qu850,0.026515776815574345,kg kg-1 m s-1,not_classified,850 hPa zonal moisture flux proxy: q850 * u850.
Jun_2026,ethiopia,qv850,0.04171954773084208,kg kg-1 m s-1,not_classified,850 hPa meridional moisture flux proxy: q850 * v850.
Jun_2026,ethiopia,mfc850,8.465861829215095e-09,kg kg-1 s-1 approximately,moisture_convergence,"850 hPa moisture-flux convergence proxy: -div(q850*u850, q850*v850)."
Jun_2026,ethiopia,omega500,-0.005457020945930189,Pa s**-1,rising_motion_tendency,500 hPa vertical velocity / omega
Jun_2026,ethiopia,omega700,-0.027678709893826325,Pa s**-1,rising_motion_tendency,700 hPa vertical velocity / omega
Jun_2026,ethiopia,vp200,6885546.944694206,m**2 s**-1,not_classified,200 hPa velocity potential
Jun_2026,ethiopia,strf200,-17323173.48532735,m**2 s**-1,not_classified,200 hPa stream function
Jun_2026,ethiopia,z200,12438.359995336545,gpm,not_classified,200 hPa geopotential height
Jun_2026,ethiopia,z500,5881.470958416259,gpm,not_classified,500 hPa geopotential height
Jun_2026,ethiopia,sst_proxy,303.4665113830432,K,not_classified,Sea surface temperature or near-surface ocean temperature proxy
Jun_2026,ethiopia_highlands_broad,u200,-17.519699310271815,m s**-1,easterly_flow,200 hPa zonal wind
Jun_2026,ethiopia_highlands_broad,v200,0.7290464208995431,m s**-1,not_classified,200 hPa meridional wind
Jun_2026,ethiopia_highlands_broad,tej_strength,17.519699310271815,m s**-1,moderate_tej,TEJ strength proxy: -u200. Larger positive values indicate stronger easterly flow.
Jun_2026,ethiopia_highlands_broad,div200,9.370196907092461e-07,s-1,divergence,200 hPa horizontal divergence computed from CFSv2 u200 and v200.
Jun_2026,ethiopia_highlands_broad,u850,0.8157884723295327,m s**-1,not_classified,850 hPa zonal wind
Jun_2026,ethiopia_highlands_broad,v850,1.6141433542701618,m s**-1,not_classified,850 hPa meridional wind
Jun_2026,ethiopia_highlands_broad,q850,0.011347835009523828,kg kg**-1,not_classified,850 hPa specific humidity
Jun_2026,ethiopia_highlands_broad,wind_speed850,2.863442554455053,m s**-1,not_classified,850 hPa wind speed.
Jun_2026,ethiopia_highlands_broad,qu850,0.009967519388331618,kg kg-1 m s-1,not_classified,850 hPa zonal moisture flux proxy: q850 * u850.
Jun_2026,ethiopia_highlands_broad,qv850,0.01973495274424697,kg kg-1 m s-1,not_classified,850 hPa meridional moisture flux proxy: q850 * v850.
Jun_2026,ethiopia_highlands_broad,mfc850,3.608326572025107e-08,kg kg-1 s-1 approximately,moisture_convergence,"850 hPa moisture-flux convergence proxy: -div(q850*u850, q850*v850)."
Jun_2026,ethiopia_highlands_broad,omega500,-0.04127522912707295,Pa s**-1,rising_motion_tendency,500 hPa vertical velocity / omega
Jun_2026,ethiopia_highlands_broad,omega700,-0.06432410601684711,Pa s**-1,rising_motion_tendency,700 hPa vertical velocity / omega
Jun_2026,ethiopia_highlands_broad,vp200,7047880.117543128,m**2 s**-1,not_classified,200 hPa velocity potential
Jun_2026,ethiopia_highlands_broad,strf200,-16508385.228105715,m**2 s**-1,not_classified,200 hPa stream function
Jun_2026,ethiopia_highlands_broad,z200,12442.49857731781,gpm,not_classified,200 hPa geopotential height
Jun_2026,ethiopia_highlands_broad,z500,5883.949697023229,gpm,not_classified,500 hPa geopotential height
Jun_2026,ethiopia_highlands_broad,sst_proxy,,K,not_classified,Sea surface temperature or near-surface ocean temperature proxy
Jun_2026,north_ethiopia,u200,-18.87134135881004,m s**-1,easterly_flow,200 hPa zonal wind
Jun_2026,north_ethiopia,v200,1.475942431235215,m s**-1,not_classified,200 hPa meridional wind
Jun_2026,north_ethiopia,tej_strength,18.87134135881004,m s**-1,moderate_tej,TEJ strength proxy: -u200. Larger positive values indicate stronger easterly flow.
Jun_2026,north_ethiopia,div200,-3.180319778967522e-07,s-1,convergence,200 hPa horizontal divergence computed from CFSv2 u200 and v200.
Jun_2026,north_ethiopia,u850,1.5204422095504928,m s**-1,not_classified,850 hPa zonal wind
Jun_2026,north_ethiopia,v850,0.18197255010178023,m s**-1,not_classified,850 hPa meridional wind
Jun_2026,north_ethiopia,q850,0.010478823351419546,kg kg**-1,not_classified,850 hPa specific humidity
Jun_2026,north_ethiopia,wind_speed850,2.9291249458347552,m s**-1,not_classified,850 hPa wind speed.
Jun_2026,north_ethiopia,qu850,0.017080386646309932,kg kg-1 m s-1,not_classified,850 hPa zonal moisture flux proxy: q850 * u850.
Jun_2026,north_ethiopia,qv850,0.006476556876766786,kg kg-1 m s-1,not_classified,850 hPa meridional moisture flux proxy: q850 * v850.
Jun_2026,north_ethiopia,mfc850,6.49377804876467e-08,kg kg-1 s-1 approximately,moisture_convergence,"850 hPa moisture-flux convergence proxy: -div(q850*u850, q850*v850)."
Jun_2026,north_ethiopia,omega500,-0.060374943484622905,Pa s**-1,rising_motion_tendency,500 hPa vertical velocity / omega
Jun_2026,north_ethiopia,omega700,-0.10651733331889136,Pa s**-1,rising_motion_tendency,700 hPa vertical velocity / omega
Jun_2026,north_ethiopia,vp200,6658572.1223308975,m**2 s**-1,not_classified,200 hPa velocity potential
Jun_2026,north_ethiopia,strf200,-11618323.46826228,m**2 s**-1,not_classified,200 hPa stream function
Jun_2026,north_ethiopia,z200,12456.53973215612,gpm,not_classified,200 hPa geopotential height
Jun_2026,north_ethiopia,z500,5889.505405408802,gpm,not_classified,500 hPa geopotential height
Jun_2026,north_ethiopia,sst_proxy,304.88613876754766,K,not_classified,Sea surface temperature or near-surface ocean temperature proxy
Jun_2026,central_ethiopia,u200,-17.250765722394682,m s**-1,easterly_flow,200 hPa zonal wind
Jun_2026,central_ethiopia,v200,0.424941660385865,m s**-1,not_classified,200 hPa meridional wind
Jun_2026,central_ethiopia,tej_strength,17.250765722394682,m s**-1,moderate_tej,TEJ strength proxy: -u200. Larger positive values indicate stronger easterly flow.
Jun_2026,central_ethiopia,div200,9.913946174973e-07,s-1,divergence,200 hPa horizontal divergence computed from CFSv2 u200 and v200.
Jun_2026,central_ethiopia,u850,0.24449501704202473,m s**-1,not_classified,850 hPa zonal wind
Jun_2026,central_ethiopia,v850,1.3026785984383484,m s**-1,not_classified,850 hPa meridional wind
Jun_2026,central_ethiopia,q850,0.012203955575918034,kg kg**-1,not_classified,850 hPa specific humidity
Jun_2026,central_ethiopia,wind_speed850,1.7015690433750952,m s**-1,not_classified,850 hPa wind speed.
Jun_2026,central_ethiopia,qu850,0.0039703902026308165,kg kg-1 m s-1,not_classified,850 hPa zonal moisture flux proxy: q850 * u850.
Jun_2026,central_ethiopia,qv850,0.014946145359424904,kg kg-1 m s-1,not_classified,850 hPa meridional moisture flux proxy: q850 * v850.
Jun_2026,central_ethiopia,mfc850,5.0777835699726556e-08,kg kg-1 s-1 approximately,moisture_convergence,"850 hPa moisture-flux convergence proxy: -div(q850*u850, q850*v850)."
Jun_2026,central_ethiopia,omega500,-0.030742654763678615,Pa s**-1,rising_motion_tendency,500 hPa vertical velocity / omega
Jun_2026,central_ethiopia,omega700,-0.06987238674315813,Pa s**-1,rising_motion_tendency,700 hPa vertical velocity / omega
Jun_2026,central_ethiopia,vp200,7106999.091763115,m**2 s**-1,not_classified,200 hPa velocity potential
Jun_2026,central_ethiopia,strf200,-18478632.865597807,m**2 s**-1,not_classified,200 hPa stream function
Jun_2026,central_ethiopia,z200,12436.576975128246,gpm,not_classified,200 hPa geopotential height
Jun_2026,central_ethiopia,z500,5881.6246479837255,gpm,not_classified,500 hPa geopotential height
Jun_2026,central_ethiopia,sst_proxy,,K,not_classified,Sea surface temperature or near-surface ocean temperature proxy
Jun_2026,west_ethiopia,u200,-17.13850235763917,m s**-1,easterly_flow,200 hPa zonal wind
Jun_2026,west_ethiopia,v200,0.20955394540339198,m s**-1,not_classified,200 hPa meridional wind
Jun_2026,west_ethiopia,tej_strength,17.13850235763917,m s**-1,moderate_tej,TEJ strength proxy: -u200. Larger positive values indicate stronger easterly flow.
Jun_2026,west_ethiopia,div200,3.509676986092692e-06,s-1,divergence,200 hPa horizontal divergence computed from CFSv2 u200 and v200.
Jun_2026,west_ethiopia,u850,0.8285499469477967,m s**-1,not_classified,850 hPa zonal wind
Jun_2026,west_ethiopia,v850,2.099637499888274,m s**-1,not_classified,850 hPa meridional wind
Jun_2026,west_ethiopia,q850,0.012281161070389502,kg kg**-1,not_classified,850 hPa specific humidity
Jun_2026,west_ethiopia,wind_speed850,2.707294399024762,m s**-1,not_classified,850 hPa wind speed.
Jun_2026,west_ethiopia,qu850,0.010589799483046156,kg kg-1 m s-1,not_classified,850 hPa zonal moisture flux proxy: q850 * u850.
Jun_2026,west_ethiopia,qv850,0.024828022311299717,kg kg-1 m s-1,not_classified,850 hPa meridional moisture flux proxy: q850 * v850.
Jun_2026,west_ethiopia,mfc850,-1.2304703144888774e-08,kg kg-1 s-1 approximately,moisture_divergence,"850 hPa moisture-flux convergence proxy: -div(q850*u850, q850*v850)."
Jun_2026,west_ethiopia,omega500,-0.08626689724070645,Pa s**-1,rising_motion_tendency,500 hPa vertical velocity / omega
Jun_2026,west_ethiopia,omega700,-0.004060099192070997,Pa s**-1,rising_motion_tendency,700 hPa vertical velocity / omega
