period,field,path,available
Jun_2026,u200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u200_Jun_2026.nc,True
Jun_2026,v200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v200_Jun_2026.nc,True
Jun_2026,u850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u850_Jun_2026.nc,True
Jun_2026,v850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v850_Jun_2026.nc,True
Jun_2026,q850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_q850_Jun_2026.nc,True
Jun_2026,omega500,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega500_Jun_2026.nc,True
Jun_2026,omega700,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega700_Jun_2026.nc,True
Jun_2026,vp200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_vp200_Jun_2026.nc,True
Jun_2026,strf200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_strf200_Jun_2026.nc,True
Jun_2026,z200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_z200_Jun_2026.nc,True
Jun_2026,z500,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_z500_Jun_2026.nc,True
Jun_2026,sst_proxy,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_sst_proxy_Jun_2026.nc,True
Jul_2026,u200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u200_Jul_2026.nc,True
Jul_2026,v200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v200_Jul_2026.nc,True
Jul_2026,u850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u850_Jul_2026.nc,True
Jul_2026,v850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v850_Jul_2026.nc,True
Jul_2026,q850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_q850_Jul_2026.nc,True
Jul_2026,omega500,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega500_Jul_2026.nc,True
Jul_2026,omega700,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega700_Jul_2026.nc,True
Jul_2026,vp200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_vp200_Jul_2026.nc,True
Jul_2026,strf200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_strf200_Jul_2026.nc,True
Jul_2026,z200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_z200_Jul_2026.nc,True
Jul_2026,z500,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_z500_Jul_2026.nc,True
Jul_2026,sst_proxy,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_sst_proxy_Jul_2026.nc,True
Aug_2026,u200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u200_Aug_2026.nc,True
Aug_2026,v200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v200_Aug_2026.nc,True
Aug_2026,u850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u850_Aug_2026.nc,True
Aug_2026,v850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v850_Aug_2026.nc,True
Aug_2026,q850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_q850_Aug_2026.nc,True
Aug_2026,omega500,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega500_Aug_2026.nc,True
Aug_2026,omega700,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega700_Aug_2026.nc,True
Aug_2026,vp200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_vp200_Aug_2026.nc,True
Aug_2026,strf200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_strf200_Aug_2026.nc,True
Aug_2026,z200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_z200_Aug_2026.nc,True
Aug_2026,z500,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_z500_Aug_2026.nc,True
Aug_2026,sst_proxy,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_sst_proxy_Aug_2026.nc,True
Sep_2026,u200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u200_Sep_2026.nc,True
Sep_2026,v200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v200_Sep_2026.nc,True
Sep_2026,u850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u850_Sep_2026.nc,True
Sep_2026,v850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v850_Sep_2026.nc,True
Sep_2026,q850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_q850_Sep_2026.nc,True
Sep_2026,omega500,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega500_Sep_2026.nc,True
Sep_2026,omega700,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega700_Sep_2026.nc,True
Sep_2026,vp200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_vp200_Sep_2026.nc,True
Sep_2026,strf200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_strf200_Sep_2026.nc,True
Sep_2026,z200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_z200_Sep_2026.nc,True
Sep_2026,z500,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_z500_Sep_2026.nc,True
Sep_2026,sst_proxy,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_sst_proxy_Sep_2026.nc,True
JJA_2026,u200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u200_JJA_2026.nc,True
JJA_2026,v200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v200_JJA_2026.nc,True
JJA_2026,u850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u850_JJA_2026.nc,True
JJA_2026,v850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v850_JJA_2026.nc,True
JJA_2026,q850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_q850_JJA_2026.nc,True
JJA_2026,omega500,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega500_JJA_2026.nc,True
JJA_2026,omega700,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega700_JJA_2026.nc,True
JJA_2026,vp200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_vp200_JJA_2026.nc,True
JJA_2026,strf200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_strf200_JJA_2026.nc,True
JJA_2026,z200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_z200_JJA_2026.nc,True
JJA_2026,z500,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_z500_JJA_2026.nc,True
JJA_2026,sst_proxy,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_sst_proxy_JJA_2026.nc,True
JJAS_2026,u200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u200_JJAS_2026.nc,True
JJAS_2026,v200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v200_JJAS_2026.nc,True
JJAS_2026,u850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_u850_JJAS_2026.nc,True
JJAS_2026,v850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_v850_JJAS_2026.nc,True
JJAS_2026,q850,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_q850_JJAS_2026.nc,True
JJAS_2026,omega500,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega500_JJAS_2026.nc,True
JJAS_2026,omega700,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_omega700_JJAS_2026.nc,True
JJAS_2026,vp200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_vp200_JJAS_2026.nc,True
JJAS_2026,strf200,D:\jjas-elnino-et\data\cfsv2\organized_v4\CFSv2_strf200_JJAS_2026.nc,True
