diagnostic,period,value,units,interpretation,source_table,domain,classification
TEJ_strength_climatology,June,14.382869242257376,m s**-1,Higher value means stronger climatological Tropical Easterly Jet.,era5_tej_index_climatology,,
TEJ_strength_climatology,July,19.84536803014227,m s**-1,Higher value means stronger climatological Tropical Easterly Jet.,era5_tej_index_climatology,,
TEJ_strength_climatology,August,18.94883529319876,m s**-1,Higher value means stronger climatological Tropical Easterly Jet.,era5_tej_index_climatology,,
TEJ_strength_climatology,September,13.853332433986019,m s**-1,Higher value means stronger climatological Tropical Easterly Jet.,era5_tej_index_climatology,,
TEJ_strength_climatology,JJA,17.725690855199467,m s**-1,Higher value means stronger climatological Tropical Easterly Jet.,era5_tej_index_climatology,,
TEJ_strength_climatology,JJAS,16.757601249896105,m s**-1,Higher value means stronger climatological Tropical Easterly Jet.,era5_tej_index_climatology,,
qu850,JJA,0.032991447018077456,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
qv850,JJA,0.03978189347059901,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
wind_speed850,JJA,6.602357156315042,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
mfc850,JJA,8.921479095763144e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,ethiopia,
qu850,JJA,0.012283911648783744,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
qv850,JJA,0.012504476514668333,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
wind_speed850,JJA,2.5514950040248756,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
mfc850,JJA,3.530827233187673e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,ethiopia_highlands_broad,
qu850,JJA,0.018951283781393113,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
qv850,JJA,-0.0010680323257131793,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
wind_speed850,JJA,3.050612532400055,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
mfc850,JJA,4.717514926985514e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,north_ethiopia,
qu850,JJA,0.004601825874398601,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
qv850,JJA,0.006935020619692722,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
wind_speed850,JJA,1.1487994603613179,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
mfc850,JJA,2.6171137788676722e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,central_ethiopia,
qu850,JJA,0.013607082125577288,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
qv850,JJA,0.021806163779517905,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
wind_speed850,JJA,2.3580980327682686,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
mfc850,JJA,2.316220587675968e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.,era5_850hpa_moisture_flux_diagnostics,west_ethiopia,
qu850,JJA,0.06945411827237573,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
qv850,JJA,0.06872912033157776,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
wind_speed850,JJA,10.541623559021293,m s**-1,Higher value indicates stronger low-level wind speed.,era5_850hpa_moisture_flux_diagnostics,east_ethiopia,
