diagnostic,period,domain,value,units,interpretation
qu850,JJA,ethiopia,0.032991447018077456,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,ethiopia,0.03978189347059901,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,ethiopia,6.602357156315042,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,ethiopia,8.921479095763144e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,ethiopia_highlands_broad,0.012283911648783744,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,ethiopia_highlands_broad,0.012504476514668333,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,ethiopia_highlands_broad,2.5514950040248756,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,ethiopia_highlands_broad,3.530827233187673e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,north_ethiopia,0.018951283781393113,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,north_ethiopia,-0.0010680323257131793,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,north_ethiopia,3.050612532400055,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,north_ethiopia,4.717514926985514e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,central_ethiopia,0.004601825874398601,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,central_ethiopia,0.006935020619692722,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,central_ethiopia,1.1487994603613179,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,central_ethiopia,2.6171137788676722e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,west_ethiopia,0.013607082125577288,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,west_ethiopia,0.021806163779517905,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,west_ethiopia,2.3580980327682686,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,west_ethiopia,2.316220587675968e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,east_ethiopia,0.06945411827237573,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,east_ethiopia,0.06872912033157776,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,east_ethiopia,10.541623559021293,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,east_ethiopia,2.1514126084548563e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,greater_horn,0.004312207373414494,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,greater_horn,0.027455783825070693,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,greater_horn,6.404907835573809,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,greater_horn,2.0033413539559754e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,east_africa,0.004768439631910147,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,east_africa,0.03371111455815244,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,east_africa,6.598979024804092,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,east_africa,2.7669345941401213e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,atlantic_congo_ethiopia,-0.003969534342280065,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,atlantic_congo_ethiopia,0.014102097564844969,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,atlantic_congo_ethiopia,4.254638070881536,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,atlantic_congo_ethiopia,-1.7470337420877266e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,congo_moisture_corridor,0.008655124673084201,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,congo_moisture_corridor,0.01419310982302172,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,congo_moisture_corridor,2.585945017361741,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,congo_moisture_corridor,1.3544360917615706e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,western_moisture_entry,0.015766734485051566,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,western_moisture_entry,0.020929891976223632,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,western_moisture_entry,2.866822164982296,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,western_moisture_entry,1.038076733674837e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,western_indian_ocean,0.020712415643490818,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,western_indian_ocean,0.05176528999894594,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,western_indian_ocean,10.284600064365383,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,western_indian_ocean,-5.485438225452951e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,arabia_red_sea,0.033792894525958996,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,arabia_red_sea,-0.0011852333973908246,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,arabia_red_sea,6.241327278066861,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,arabia_red_sea,1.7711215034199797e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,north_africa_arabia,0.01612485331034843,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,north_africa_arabia,-0.006052021345437842,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,north_africa_arabia,4.961743313996088,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,north_africa_arabia,7.757874954745697e-09,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,tej_core,0.0864218729431374,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,tej_core,0.020504543817000218,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,tej_core,9.094000070644219,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,tej_core,1.172567862485358e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,somali_jet_box,0.029169979767465194,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,somali_jet_box,0.07308096191734854,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,somali_jet_box,11.31441033515964,m s**-1,Higher value indicates stronger low-level wind speed.
mfc850,JJA,somali_jet_box,-1.062293157515537e-08,kg kg-1 s-1 approximately,Positive value indicates moisture convergence; negative value indicates moisture divergence.
qu850,JJA,turkana_corridor,-0.027444591987533642,kg kg-1 m s-1,Positive value indicates eastward moisture transport; negative value indicates westward moisture transport.
qv850,JJA,turkana_corridor,0.056583691082244,kg kg-1 m s-1,Positive value indicates northward moisture transport; negative value indicates southward moisture transport.
wind_speed850,JJA,turkana_corridor,7.257122032638336,m s**-1,Higher value indicates stronger low-level wind speed.
