field,period,domain,area_mean,units,aggregation
u200,month_06,ethiopia,-15.02742603804608,m s**-1,monthly_climatology
u200,month_06,greater_horn,-6.877721818556868,m s**-1,monthly_climatology
u200,month_06,east_africa,-7.974973483126073,m s**-1,monthly_climatology
u200,month_06,atlantic_congo_ethiopia,-0.7068972272448659,m s**-1,monthly_climatology
u200,month_06,indian_ocean,1.0763875668776213,m s**-1,monthly_climatology
u200,month_07,ethiopia,-19.945327283608695,m s**-1,monthly_climatology
u200,month_07,greater_horn,-11.8131100106486,m s**-1,monthly_climatology
u200,month_07,east_africa,-11.933352466231373,m s**-1,monthly_climatology
u200,month_07,atlantic_congo_ethiopia,-4.9729883122465095,m s**-1,monthly_climatology
u200,month_07,indian_ocean,-3.4571957461259437,m s**-1,monthly_climatology
u200,month_08,ethiopia,-18.239413908431843,m s**-1,monthly_climatology
u200,month_08,greater_horn,-10.177394256169915,m s**-1,monthly_climatology
u200,month_08,east_africa,-10.351036967775242,m s**-1,monthly_climatology
u200,month_08,atlantic_congo_ethiopia,-4.807627021583227,m s**-1,monthly_climatology
u200,month_08,indian_ocean,-3.1147332630833313,m s**-1,monthly_climatology
u200,month_09,ethiopia,-12.10355547370072,m s**-1,monthly_climatology
u200,month_09,greater_horn,-4.780746416028591,m s**-1,monthly_climatology
u200,month_09,east_africa,-5.493872873479332,m s**-1,monthly_climatology
u200,month_09,atlantic_congo_ethiopia,-0.6797367746164713,m s**-1,monthly_climatology
u200,month_09,indian_ocean,0.025629164208410264,m s**-1,monthly_climatology
u200,JJA,ethiopia,-17.737389043689372,m s**-1,seasonal_climatology
u200,JJA,greater_horn,-9.62274154185885,m s**-1,seasonal_climatology
u200,JJA,east_africa,-10.086453820778855,m s**-1,seasonal_climatology
u200,JJA,atlantic_congo_ethiopia,-3.4958367558366548,m s**-1,seasonal_climatology
u200,JJA,indian_ocean,-1.8318464410406228,m s**-1,seasonal_climatology
u200,JJAS,ethiopia,-16.328928144021468,m s**-1,seasonal_climatology
u200,JJAS,greater_horn,-8.412241855592326,m s**-1,seasonal_climatology
u200,JJAS,east_africa,-8.93830757478277,m s**-1,seasonal_climatology
u200,JJAS,atlantic_congo_ethiopia,-2.7918110572579096,m s**-1,seasonal_climatology
u200,JJAS,indian_ocean,-1.3674769822243844,m s**-1,seasonal_climatology
v200,month_06,ethiopia,0.7520575637361173,m s**-1,monthly_climatology
v200,month_06,greater_horn,-0.2802673975307012,m s**-1,monthly_climatology
v200,month_06,east_africa,-0.9831076800345353,m s**-1,monthly_climatology
v200,month_06,atlantic_congo_ethiopia,-1.6142934091056464,m s**-1,monthly_climatology
v200,month_06,indian_ocean,-2.799670123245521,m s**-1,monthly_climatology
v200,month_07,ethiopia,-0.3164687829345808,m s**-1,monthly_climatology
v200,month_07,greater_horn,-0.9555606521294431,m s**-1,monthly_climatology
v200,month_07,east_africa,-1.4912377058018396,m s**-1,monthly_climatology
v200,month_07,atlantic_congo_ethiopia,-1.8350946190496227,m s**-1,monthly_climatology
v200,month_07,indian_ocean,-3.589944405079588,m s**-1,monthly_climatology
v200,month_08,ethiopia,-0.34083693006690446,m s**-1,monthly_climatology
v200,month_08,greater_horn,-0.6656356677163956,m s**-1,monthly_climatology
v200,month_08,east_africa,-1.1973477973639781,m s**-1,monthly_climatology
v200,month_08,atlantic_congo_ethiopia,-1.8122738583143994,m s**-1,monthly_climatology
v200,month_08,indian_ocean,-3.4031438219330132,m s**-1,monthly_climatology
v200,month_09,ethiopia,1.1703741105479948,m s**-1,monthly_climatology
v200,month_09,greater_horn,0.3031113191408167,m s**-1,monthly_climatology
v200,month_09,east_africa,-0.23272041276241678,m s**-1,monthly_climatology
v200,month_09,atlantic_congo_ethiopia,-1.1721838802569702,m s**-1,monthly_climatology
v200,month_09,indian_ocean,-2.275923526037143,m s**-1,monthly_climatology
v200,JJA,ethiopia,0.03158395973157135,m s**-1,seasonal_climatology
v200,JJA,greater_horn,-0.6338212640732519,m s**-1,seasonal_climatology
v200,JJA,east_africa,-1.223897728188308,m s**-1,seasonal_climatology
v200,JJA,atlantic_congo_ethiopia,-1.7538872906081533,m s**-1,seasonal_climatology
v200,JJA,indian_ocean,-3.2642526593915098,m s**-1,seasonal_climatology
v200,JJAS,ethiopia,0.3162815131577115,m s**-1,seasonal_climatology
v200,JJAS,greater_horn,-0.39958807885797576,m s**-1,seasonal_climatology
v200,JJAS,east_africa,-0.9761033710456514,m s**-1,seasonal_climatology
v200,JJAS,atlantic_congo_ethiopia,-1.608461469224671,m s**-1,seasonal_climatology
v200,JJAS,indian_ocean,-3.0171702972841508,m s**-1,seasonal_climatology
u850,month_06,ethiopia,2.8692769562992604,m s**-1,monthly_climatology
u850,month_06,greater_horn,-0.24203310335821843,m s**-1,monthly_climatology
u850,month_06,east_africa,-0.23806625482186847,m s**-1,monthly_climatology
u850,month_06,atlantic_congo_ethiopia,-1.7342417880826961,m s**-1,monthly_climatology
u850,month_06,indian_ocean,0.8512463327149854,m s**-1,monthly_climatology
u850,month_07,ethiopia,3.6107644608615863,m s**-1,monthly_climatology
u850,month_07,greater_horn,0.4635135460071325,m s**-1,monthly_climatology
u850,month_07,east_africa,0.4008916539574299,m s**-1,monthly_climatology
u850,month_07,atlantic_congo_ethiopia,-1.037779114325695,m s**-1,monthly_climatology
u850,month_07,indian_ocean,0.9309892404295619,m s**-1,monthly_climatology
u850,month_08,ethiopia,3.0574254490743487,m s**-1,monthly_climatology
u850,month_08,greater_horn,-0.13491921456215056,m s**-1,monthly_climatology
u850,month_08,east_africa,-0.13460520226773112,m s**-1,monthly_climatology
u850,month_08,atlantic_congo_ethiopia,-0.9889634795037993,m s**-1,monthly_climatology
u850,month_08,indian_ocean,0.4657851217527403,m s**-1,monthly_climatology
u850,month_09,ethiopia,1.3587746869117583,m s**-1,monthly_climatology
u850,month_09,greater_horn,-1.444639821551766,m s**-1,monthly_climatology
u850,month_09,east_africa,-1.4025145910272148,m s**-1,monthly_climatology
