diagnostic,period,domain,value,units,interpretation
omega500,June,ethiopia,-0.018629559388504805,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,ethiopia_highlands_broad,-0.05716653871664211,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,north_ethiopia,-0.050826591779093606,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,central_ethiopia,-0.07585103464159143,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,west_ethiopia,-0.07911935581463037,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,east_ethiopia,0.01263031881818276,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,greater_horn,0.0070385716542677845,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,east_africa,0.004897537895771122,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,atlantic_congo_ethiopia,0.006782827750310994,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,congo_moisture_corridor,-0.018314767778895118,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,western_moisture_entry,-0.03655749012713312,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,western_indian_ocean,0.006456507906535489,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,arabia_red_sea,0.0057750960212573955,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,north_africa_arabia,0.019692728257253864,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,tej_core,-0.026133988230029503,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,somali_jet_box,0.013850655796390905,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,June,turkana_corridor,0.022014015661078478,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,July,ethiopia,-0.034239830440559525,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,July,ethiopia_highlands_broad,-0.08744877502666638,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,July,north_ethiopia,-0.10226388894051192,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,July,central_ethiopia,-0.11897520874011769,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,July,west_ethiopia,-0.08302296197078202,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,July,east_ethiopia,0.0006665725538583303,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,July,greater_horn,0.001219710437530547,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
omega500,July,east_africa,5.4984196690635995e-05,Pa s**-1,Positive omega means subsidence/sinking motion; negative omega means rising motion.
