source,file,variable,dims,shape,units,long_name
NMME_realtime_anom,D:\jjas-elnino-et\data\nmme\realtime_anom\ENSMEAN\2026050800\CanESM5.prate.202605.ENSMEAN.anom.nc,fcst,"target, lat, lon","(9, 181, 360)",mm/s,CanESM5 prate 202605 ensemble mean anomaly
NMME_realtime_anom,D:\jjas-elnino-et\data\nmme\realtime_anom\ENSMEAN\2026050800\CanESM5.prate.202605.ENSMEAN.fcst.nc,fcst,"target, lat, lon","(12, 181, 360)",mm/s,CanESM5 prate 202605 ensemble mean forecast
NMME_realtime_anom,D:\jjas-elnino-et\data\nmme\realtime_anom\ENSMEAN\2026050800\CanESM5.tmp2m.202605.ENSMEAN.anom.nc,fcst,"target, lat, lon","(9, 181, 360)",K,CanESM5 tmp2m 202605 ensemble mean anomaly
NMME_realtime_anom,D:\jjas-elnino-et\data\nmme\realtime_anom\ENSMEAN\2026050800\CanESM5.tmp2m.202605.ENSMEAN.fcst.nc,fcst,"target, lat, lon","(12, 181, 360)",K,CanESM5 tmp2m 202605 ensemble mean forecast
NMME_realtime_anom,D:\jjas-elnino-et\data\nmme\realtime_anom\ENSMEAN\2026050800\CanESM5.tmpsfc.202605.ENSMEAN.anom.nc,fcst,"target, lat, lon","(9, 181, 360)",K,CanESM5 tmpsfc 202605 ensemble mean anomaly
NMME_realtime_anom,D:\jjas-elnino-et\data\nmme\realtime_anom\ENSMEAN\2026050800\CanESM5.tmpsfc.202605.ENSMEAN.fcst.nc,fcst,"target, lat, lon","(12, 181, 360)",K,CanESM5 tmpsfc 202605 ensemble mean forecast
NMME_realtime_anom,D:\jjas-elnino-et\data\nmme\realtime_anom\ENSMEAN\2026050800\CFSv2.prate.202605.ENSMEAN.anom.nc,fcst,"target, lat, lon","(9, 181, 360)",mm/s,CFSv2 prate 202605 ensemble mean anomaly
NMME_realtime_anom,D:\jjas-elnino-et\data\nmme\realtime_anom\ENSMEAN\2026050800\CFSv2.prate.202605.ENSMEAN.fcst.nc,fcst,"target, lat, lon","(9, 181, 360)",mm/s,CFSv2 prate 202605 ensemble mean forecast
NMME_realtime_anom,D:\jjas-elnino-et\data\nmme\realtime_anom\ENSMEAN\2026050800\CFSv2.tmp2m.202605.ENSMEAN.anom.nc,fcst,"target, lat, lon","(9, 181, 360)",K,CFSv2 tmp2m 202605 ensemble mean anomaly
NMME_realtime_anom,D:\jjas-elnino-et\data\nmme\realtime_anom\ENSMEAN\2026050800\CFSv2.tmp2m.202605.ENSMEAN.fcst.nc,fcst,"target, lat, lon","(9, 181, 360)",K,CFSv2 tmp2m 202605 ensemble mean forecast
NMME_realtime_anom,D:\jjas-elnino-et\data\nmme\realtime_anom\ENSMEAN\2026050800\CFSv2.tmpsfc.202605.ENSMEAN.anom.nc,fcst,"target, lat, lon","(9, 181, 360)",K,CFSv2 tmpsfc 202605 ensemble mean anomaly
NMME_realtime_anom,D:\jjas-elnino-et\data\nmme\realtime_anom\ENSMEAN\2026050800\CFSv2.tmpsfc.202605.ENSMEAN.fcst.nc,fcst,"target, lat, lon","(9, 181, 360)",K,CFSv2 tmpsfc 202605 ensemble mean forecast
NMME_realtime_anom,D:\jjas-elnino-et\data\nmme\realtime_anom\ENSMEAN\2026050800\GEM5.2_NEMO.prate.202605.ENSMEAN.anom.nc,fcst,"target, lat, lon","(9, 181, 360)",mm/s,GEM5.2_NEMO prate 202605 ensemble mean anomaly
