evidence_group,diagnostic,period,period_label,period_order,domain,value,units,classification,score,evidence_strength,support_direction,confidence,interpretation,source_table,limitation
circulation_baseline,ERA5 TEJ strength climatology,Jun,June 2026,1,tej_core,14.382869242257376,m s**-1,baseline_only,0,neutral_or_mixed,neutral_mixed_or_baseline,high_for_climatology,TEJ strength climatology is from ERA5 1991-2020 climatology. It describes normal Kiremt circulation but does not confirm 2026 anomaly by itself.,era5_tej_index_climatology.csv,Baseline only; not a 2026 forecast anomaly.
circulation_baseline,ERA5 divergence200 climatology,Jun,June 2026,1,arabia_red_sea,-5.626030050473188e-07,s**-1,baseline_only,0,neutral_or_mixed,neutral_mixed_or_baseline,high_for_climatology,divergence200 is from ERA5 1991-2020 climatology. It describes normal Kiremt circulation but does not confirm 2026 anomaly by itself.,era5_vertical_divergence_height_diagnostics.csv,Baseline only; not a 2026 forecast anomaly.
circulation_baseline,ERA5 divergence200 climatology,Jun,June 2026,1,ethiopia,-1.229693986470377e-06,s**-1,baseline_only,0,neutral_or_mixed,neutral_mixed_or_baseline,high_for_climatology,divergence200 is from ERA5 1991-2020 climatology. It describes normal Kiremt circulation but does not confirm 2026 anomaly by itself.,era5_vertical_divergence_height_diagnostics.csv,Baseline only; not a 2026 forecast anomaly.
circulation_baseline,ERA5 divergence200 climatology,Jun,June 2026,1,greater_horn,-5.822870727898359e-07,s**-1,baseline_only,0,neutral_or_mixed,neutral_mixed_or_baseline,high_for_climatology,divergence200 is from ERA5 1991-2020 climatology. It describes normal Kiremt circulation but does not confirm 2026 anomaly by itself.,era5_vertical_divergence_height_diagnostics.csv,Baseline only; not a 2026 forecast anomaly.
circulation_baseline,ERA5 divergence200 climatology,Jun,June 2026,1,north_africa_arabia,-9.70028714289416e-07,s**-1,baseline_only,0,neutral_or_mixed,neutral_mixed_or_baseline,high_for_climatology,divergence200 is from ERA5 1991-2020 climatology. It describes normal Kiremt circulation but does not confirm 2026 anomaly by itself.,era5_vertical_divergence_height_diagnostics.csv,Baseline only; not a 2026 forecast anomaly.
circulation_baseline,ERA5 mfc850 climatology,Jun,June 2026,1,congo_moisture_corridor,1.0849996274523716e-08,kg kg-1 s-1 approximately,baseline_only,0,neutral_or_mixed,neutral_mixed_or_baseline,high_for_climatology,mfc850 is from ERA5 1991-2020 climatology. It describes normal Kiremt circulation but does not confirm 2026 anomaly by itself.,era5_850hpa_moisture_flux_diagnostics.csv,Baseline only; not a 2026 forecast anomaly.
circulation_baseline,ERA5 mfc850 climatology,Jun,June 2026,1,ethiopia,1.6314964027514647e-08,kg kg-1 s-1 approximately,baseline_only,0,neutral_or_mixed,neutral_mixed_or_baseline,high_for_climatology,mfc850 is from ERA5 1991-2020 climatology. It describes normal Kiremt circulation but does not confirm 2026 anomaly by itself.,era5_850hpa_moisture_flux_diagnostics.csv,Baseline only; not a 2026 forecast anomaly.
circulation_baseline,ERA5 mfc850 climatology,Jun,June 2026,1,greater_horn,5.665506088649996e-10,kg kg-1 s-1 approximately,baseline_only,0,neutral_or_mixed,neutral_mixed_or_baseline,high_for_climatology,mfc850 is from ERA5 1991-2020 climatology. It describes normal Kiremt circulation but does not confirm 2026 anomaly by itself.,era5_850hpa_moisture_flux_diagnostics.csv,Baseline only; not a 2026 forecast anomaly.
circulation_baseline,ERA5 mfc850 climatology,Jun,June 2026,1,western_moisture_entry,1.3402588988745524e-08,kg kg-1 s-1 approximately,baseline_only,0,neutral_or_mixed,neutral_mixed_or_baseline,high_for_climatology,mfc850 is from ERA5 1991-2020 climatology. It describes normal Kiremt circulation but does not confirm 2026 anomaly by itself.,era5_850hpa_moisture_flux_diagnostics.csv,Baseline only; not a 2026 forecast anomaly.
circulation_baseline,ERA5 omega500 climatology,Jun,June 2026,1,arabia_red_sea,0.0057750960212573,Pa s**-1,baseline_only,0,neutral_or_mixed,neutral_mixed_or_baseline,high_for_climatology,omega500 is from ERA5 1991-2020 climatology. It describes normal Kiremt circulation but does not confirm 2026 anomaly by itself.,era5_vertical_divergence_height_diagnostics.csv,Baseline only; not a 2026 forecast anomaly.
