field,period,region,aggregation,value,units
prate,Aug_2026,ethiopia,monthly_mean,-0.5969913601875305,mm/day
prate,Aug_2026,ethiopia,monthly_total,-18.506731033325195,mm/month
prate,Aug_2026,greater_horn,monthly_mean,-0.4006498157978058,mm/day
prate,Aug_2026,greater_horn,monthly_total,-12.420145034790039,mm/month
prate,Aug_2026,africa,monthly_mean,-0.14936533570289612,mm/day
prate,Aug_2026,africa,monthly_total,-4.6303253173828125,mm/month
prate,Aug_2026,global,monthly_mean,0.012930341996252537,mm/day
prate,Aug_2026,global,monthly_total,0.40084049105644226,mm/month
prate,Sep_2026,ethiopia,monthly_mean,-0.3753546178340912,mm/day
prate,Sep_2026,ethiopia,monthly_total,-11.260639190673828,mm/month
prate,Sep_2026,greater_horn,monthly_mean,-0.21640434861183167,mm/day
prate,Sep_2026,greater_horn,monthly_total,-6.492130756378174,mm/month
prate,Sep_2026,africa,monthly_mean,-0.0806087926030159,mm/day
prate,Sep_2026,africa,monthly_total,-2.4182634353637695,mm/month
prate,Sep_2026,global,monthly_mean,0.018844807520508766,mm/day
prate,Sep_2026,global,monthly_total,0.5653440356254578,mm/month
prate,AS_2026,ethiopia,season_mean,-0.48617300391197205,mm/day
prate,AS_2026,greater_horn,season_mean,-0.3085270822048187,mm/day
prate,AS_2026,africa,season_mean,-0.11498702317476273,mm/day
prate,AS_2026,global,season_mean,0.01588757336139679,mm/day
prate,AS_2026,ethiopia,season_total,-29.767372131347656,mm/season
prate,AS_2026,greater_horn,season_total,-18.912273406982422,mm/season
prate,AS_2026,africa,season_total,-7.04858922958374,mm/season
prate,AS_2026,global,season_total,0.9661845564842224,mm/season
tmpsfc,Aug_2026,ethiopia,monthly_anomaly,1.217250108718872,K
tmpsfc,Aug_2026,greater_horn,monthly_anomaly,0.8478085398674011,K
tmpsfc,Aug_2026,africa,monthly_anomaly,0.5277402997016907,K
tmpsfc,Aug_2026,global,monthly_anomaly,0.4879656434059143,K
tmpsfc,Sep_2026,ethiopia,monthly_anomaly,1.0510045289993286,K
tmpsfc,Sep_2026,greater_horn,monthly_anomaly,0.9841293692588806,K
tmpsfc,Sep_2026,africa,monthly_anomaly,0.5747590065002441,K
tmpsfc,Sep_2026,global,monthly_anomaly,0.5842632055282593,K
tmpsfc,AS_2026,ethiopia,season_mean_anomaly,1.1341273784637451,K
tmpsfc,AS_2026,greater_horn,season_mean_anomaly,0.9159689545631409,K
tmpsfc,AS_2026,africa,season_mean_anomaly,0.551249623298645,K
tmpsfc,AS_2026,global,season_mean_anomaly,0.5361143350601196,K
