field,period,region,aggregation,value,units
prate,Jul_2026,ethiopia,monthly_mean,-0.5838088393211365,mm/day
prate,Jul_2026,ethiopia,monthly_total,-18.098073959350586,mm/month
prate,Jul_2026,greater_horn,monthly_mean,-0.31492769718170166,mm/day
prate,Jul_2026,greater_horn,monthly_total,-9.7627592086792,mm/month
prate,Jul_2026,africa,monthly_mean,-0.054101359099149704,mm/day
prate,Jul_2026,africa,monthly_total,-1.677141547203064,mm/month
prate,Jul_2026,global,monthly_mean,-0.043796226382255554,mm/day
prate,Jul_2026,global,monthly_total,-1.357682228088379,mm/month
prate,Aug_2026,ethiopia,monthly_mean,-0.3921930193901062,mm/day
prate,Aug_2026,ethiopia,monthly_total,-12.157981872558594,mm/month
prate,Aug_2026,greater_horn,monthly_mean,-0.16919267177581787,mm/day
prate,Aug_2026,greater_horn,monthly_total,-5.2449727058410645,mm/month
prate,Aug_2026,africa,monthly_mean,-0.029488181695342064,mm/day
prate,Aug_2026,africa,monthly_total,-0.9141330122947693,mm/month
prate,Aug_2026,global,monthly_mean,0.004610562231391668,mm/day
prate,Aug_2026,global,monthly_total,0.1429274082183838,mm/month
prate,Sep_2026,ethiopia,monthly_mean,-0.36652296781539917,mm/day
prate,Sep_2026,ethiopia,monthly_total,-10.995691299438477,mm/month
prate,Sep_2026,greater_horn,monthly_mean,-0.18170668184757233,mm/day
prate,Sep_2026,greater_horn,monthly_total,-5.451200485229492,mm/month
prate,Sep_2026,africa,monthly_mean,-0.049194928258657455,mm/day
prate,Sep_2026,africa,monthly_total,-1.4758480787277222,mm/month
prate,Sep_2026,global,monthly_mean,0.004830468911677599,mm/day
prate,Sep_2026,global,monthly_total,0.14491382241249084,mm/month
prate,JAS_2026,ethiopia,season_mean,-0.447508305311203,mm/day
prate,JAS_2026,greater_horn,season_mean,-0.22194235026836395,mm/day
prate,JAS_2026,africa,season_mean,-0.04426148906350136,mm/day
prate,JAS_2026,global,season_mean,-0.011451730504631996,mm/day
prate,JAS_2026,ethiopia,season_total,-41.251747131347656,mm/season
prate,JAS_2026,greater_horn,season_total,-20.45893096923828,mm/season
prate,JAS_2026,africa,season_total,-4.067122459411621,mm/season
prate,JAS_2026,global,season_total,-1.069841742515564,mm/season
tmpsfc,Jul_2026,ethiopia,monthly_anomaly,0.9375135898590088,K
tmpsfc,Jul_2026,greater_horn,monthly_anomaly,0.7609881162643433,K
tmpsfc,Jul_2026,africa,monthly_anomaly,0.5412375926971436,K
tmpsfc,Jul_2026,global,monthly_anomaly,0.4289432466030121,K
tmpsfc,Aug_2026,ethiopia,monthly_anomaly,0.931477963924408,K
tmpsfc,Aug_2026,greater_horn,monthly_anomaly,0.9148332476615906,K
tmpsfc,Aug_2026,africa,monthly_anomaly,0.5463035702705383,K
tmpsfc,Aug_2026,global,monthly_anomaly,0.5149241089820862,K
tmpsfc,Sep_2026,ethiopia,monthly_anomaly,0.9830121397972107,K
tmpsfc,Sep_2026,greater_horn,monthly_anomaly,1.0010159015655518,K
tmpsfc,Sep_2026,africa,monthly_anomaly,0.5992390513420105,K
tmpsfc,Sep_2026,global,monthly_anomaly,0.5954518914222717,K
tmpsfc,JAS_2026,ethiopia,season_mean_anomaly,0.9506678581237793,K
tmpsfc,JAS_2026,greater_horn,season_mean_anomaly,0.8922792077064514,K
tmpsfc,JAS_2026,africa,season_mean_anomaly,0.5622601509094238,K
tmpsfc,JAS_2026,global,season_mean_anomaly,0.5131065249443054,K
