field,period,region,aggregation,value,units
prate,Jun_2026,ethiopia,monthly_mean,-0.5230395197868347,mm/day
prate,Jun_2026,ethiopia,monthly_total,-15.69118595123291,mm/month
prate,Jun_2026,greater_horn,monthly_mean,-0.3715023696422577,mm/day
prate,Jun_2026,greater_horn,monthly_total,-11.14507007598877,mm/month
prate,Jun_2026,africa,monthly_mean,-0.21007932722568512,mm/day
prate,Jun_2026,africa,monthly_total,-6.302379131317139,mm/month
prate,Jun_2026,global,monthly_mean,-0.0032190743368119,mm/day
prate,Jun_2026,global,monthly_total,-0.09657211601734161,mm/month
prate,Jul_2026,ethiopia,monthly_mean,-0.2835632562637329,mm/day
prate,Jul_2026,ethiopia,monthly_total,-8.790461540222168,mm/month
prate,Jul_2026,greater_horn,monthly_mean,-0.23543061316013336,mm/day
prate,Jul_2026,greater_horn,monthly_total,-7.298348903656006,mm/month
prate,Jul_2026,africa,monthly_mean,-0.05742919072508812,mm/day
prate,Jul_2026,africa,monthly_total,-1.780305027961731,mm/month
prate,Jul_2026,global,monthly_mean,0.005714918486773968,mm/day
prate,Jul_2026,global,monthly_total,0.1771622598171234,mm/month
prate,Aug_2026,ethiopia,monthly_mean,-0.2368411123752594,mm/day
prate,Aug_2026,ethiopia,monthly_total,-7.342073440551758,mm/month
prate,Aug_2026,greater_horn,monthly_mean,-0.13279864192008972,mm/day
prate,Aug_2026,greater_horn,monthly_total,-4.116758346557617,mm/month
prate,Aug_2026,africa,monthly_mean,-0.03309526666998863,mm/day
prate,Aug_2026,africa,monthly_total,-1.0259531736373901,mm/month
prate,Aug_2026,global,monthly_mean,0.0221273023635149,mm/day
prate,Aug_2026,global,monthly_total,0.6859461069107056,mm/month
prate,Sep_2026,ethiopia,monthly_mean,-0.3023471236228943,mm/day
prate,Sep_2026,ethiopia,monthly_total,-9.070413589477539,mm/month
prate,Sep_2026,greater_horn,monthly_mean,-0.12467094510793686,mm/day
prate,Sep_2026,greater_horn,monthly_total,-3.740128517150879,mm/month
prate,Sep_2026,africa,monthly_mean,-0.07572846859693527,mm/day
prate,Sep_2026,africa,monthly_total,-2.2718536853790283,mm/month
prate,Sep_2026,global,monthly_mean,0.03216199204325676,mm/day
prate,Sep_2026,global,monthly_total,0.9648586511611938,mm/month
prate,JJA_2026,ethiopia,season_mean,-0.3478146493434906,mm/day
prate,JJA_2026,greater_horn,season_mean,-0.246577188372612,mm/day
