diagnostic,period,domain,value,classification,units,interpretation
NMME_precipitation_anomaly,Jun,ethiopia,-15.69118595123291,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,ethiopia_highlands_broad,-18.294164657592773,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,north_ethiopia,-12.926945686340332,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,central_ethiopia,-25.710067749023438,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,west_ethiopia,-14.751564025878906,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,east_ethiopia,-14.941167831420898,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,greater_horn,-11.14507007598877,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,east_africa,-12.289969444274902,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,atlantic_congo_ethiopia,-9.446446418762207,near_normal_or_weak_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,congo_moisture_corridor,-10.570598602294922,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,western_moisture_entry,-13.950950622558594,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,western_indian_ocean,-14.336129188537598,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,arabia_red_sea,-6.222740650177002,near_normal_or_weak_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,north_africa_arabia,-5.793140888214111,near_normal_or_weak_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,tej_core,-6.698459625244141,near_normal_or_weak_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,somali_jet_box,-24.51975440979004,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jun,turkana_corridor,-12.848799705505371,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jul,ethiopia,-8.790461540222168,near_normal_or_weak_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jul,ethiopia_highlands_broad,-9.043390274047852,near_normal_or_weak_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jul,north_ethiopia,-0.9921156764030457,near_normal_or_weak_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jul,central_ethiopia,-8.147616386413574,near_normal_or_weak_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jul,west_ethiopia,-12.105708122253418,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jul,east_ethiopia,-6.676438808441162,near_normal_or_weak_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jul,greater_horn,-7.298348903656006,near_normal_or_weak_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jul,east_africa,-8.118494987487793,near_normal_or_weak_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jul,atlantic_congo_ethiopia,-3.442671537399292,near_normal_or_weak_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jul,congo_moisture_corridor,-0.662865936756134,near_normal_or_weak_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jul,western_moisture_entry,-8.662537574768066,near_normal_or_weak_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
NMME_precipitation_anomaly,Jul,western_indian_ocean,-14.282415390014648,below_normal_dry_signal,mm/month,Negative precipitation anomaly indicates drier-than-normal rainfall. Positive anomaly indicates wetter-than-normal rainfall.
