init,period,nino1_2,nino3,nino34,nino4,iod_west,iod_east,dmi,units
may,Jun,1.219988226890564,1.1421302556991577,1.0088821649551392,1.1080501079559326,0.4069099724292755,0.37657588720321655,0.03033408522605896,K
may,Jul,2.100552558898926,1.705427885055542,1.4020531177520752,1.2008743286132812,0.4803699851036072,0.3259757459163666,0.1543942391872406,K
may,Aug,2.4486544132232666,2.2283053398132324,1.9275705814361572,1.3271712064743042,0.641156017780304,0.1504344493150711,0.49072156846523285,K
may,Sep,2.550783395767212,2.6935534477233887,2.4057507514953613,1.5098384618759155,0.746721088886261,-0.09608351439237595,0.8428046032786369,K
may,JJA,1.9230650663375854,1.6919543743133545,1.4461687803268433,1.2120318412780762,0.5094786882400513,0.2843286991119385,0.2251499891281128,K
may,JJAS,2.0799946784973145,1.9423542022705078,1.6860640048980713,1.286483645439148,0.5687893033027649,0.18922565877437592,0.379563644528389,K
june,Jul,2.209725856781006,1.7008416652679443,1.402050495147705,1.2027653455734253,0.23005932569503784,0.4714795649051666,-0.24142023921012878,K
june,Aug,2.55245041847229,2.265134811401367,1.9823589324951172,1.3513530492782593,0.5972314476966858,0.21351535618305206,0.38371609151363373,K
june,Sep,2.637489080429077,2.8223369121551514,2.587096691131592,1.607601284980774,0.7719855904579163,-0.0575871542096138,0.8295727446675301,K
june,JAS,2.466555118560791,2.2627711296081543,1.990502119064331,1.3872398138046265,0.5330920815467834,0.20913591980934143,0.323956161737442,K
july,Aug,3.0510246753692627,2.381535530090332,1.9896759986877441,1.2476530075073242,0.5037623047828674,0.4567367434501648,0.04702556133270264,K
july,Sep,3.1953840255737305,3.0413646697998047,2.694791078567505,1.527674674987793,0.779322624206543,0.2504290044307709,0.5288936197757721,K
july,AS,3.123204231262207,2.7114503383636475,2.342233419418335,1.3876638412475586,0.6415425539016724,0.35358282923698425,0.2879597246646881,K
